date,no2_mean,no2_min,no2_max,no2_stdev,no2_sample_count,no2_nodata_count,co_mean,co_min,co_max,co_stdev,co_sample_count,co_nodata_count,o3_mean,o3_min,o3_max,o3_stdev,o3_sample_count,o3_nodata_count,so2_mean,so2_min,so2_max,so2_stdev,so2_sample_count,so2_nodata_count
2025-09-01,2.7592613150773104e-05,2.7508402126841247e-05,2.767682417470496e-05,8.42110239318572e-08,2,0,0.024130305275321007,0.023843277245759964,0.02441733330488205,0.0002870280295610428,2,0,0.11566774174571037,0.11531884968280792,0.11601663380861282,0.00034889206290245056,2,0,-8.191927918232977e-06,-0.00010238338290946558,8.599952707299963e-05,9.41914549912326e-05,2,0
2025-09-02,2.5859933884930797e-05,2.5859933884930797e-05,2.5859933884930797e-05,0.0,2,0,0.023826020769774914,0.022839289158582687,0.02481275238096714,0.0009867316111922264,2,0,0.1148001030087471,0.1148001030087471,0.1148001030087471,0.0,2,0,-0.00012588956451509148,-0.00012588956451509148,-0.00012588956451509148,0.0,2,0
2025-09-03,2.5139685021713376e-05,2.5139685021713376e-05,2.5139685021713376e-05,0.0,2,0,0.023420575074851513,0.02275969460606575,0.024081455543637276,0.0006608804687857628,2,0,0.11341709643602371,0.11341709643602371,0.11341709643602371,0.0,2,0,5.30566740053473e-06,5.30566740053473e-06,5.30566740053473e-06,0.0,2,0
2025-09-04,2.9153725336072966e-05,2.9153725336072966e-05,2.9153725336072966e-05,0.0,2,0,,,,,2,2,0.11420407891273499,0.11420407891273499,0.11420407891273499,0.0,2,0,0.0005122903967276216,0.0005122903967276216,0.0005122903967276216,0.0,2,0
2025-09-05,,,,,2,2,0.03369758650660515,0.03369758650660515,0.03369758650660515,0.0,2,0,0.11372068524360657,0.11372068524360657,0.11372068524360657,0.0,2,0,-0.0003862001758534461,-0.0003862001758534461,-0.0003862001758534461,0.0,2,0
2025-09-06,,,,,2,2,0.028563639149069786,0.028563639149069786,0.028563639149069786,0.0,2,0,0.11168531328439713,0.11168531328439713,0.11168531328439713,0.0,2,0,,,,,2,2
2025-09-07,,,,,2,2,,,,,2,2,0.11433368921279907,0.11433368921279907,0.11433368921279907,0.0,2,0,0.0001987606956390664,0.0001987606956390664,0.0001987606956390664,0.0,2,0
2025-09-08,,,,,2,2,,,,,2,2,0.11336768791079521,0.11331871896982193,0.1134166568517685,4.896894097328186e-05,2,0,,,,,2,2
2025-09-09,,,,,2,2,0.028574496507644653,0.028574496507644653,0.028574496507644653,0.0,2,0,0.11404059082269669,0.11404059082269669,0.11404059082269669,0.0,2,0,,,,,2,2
2025-09-10,,,,,2,2,0.026306863874197006,0.026306863874197006,0.026306863874197006,0.0,2,0,0.11453106254339218,0.11453106254339218,0.11453106254339218,0.0,2,0,6.3167346525006e-05,6.3167346525006e-05,6.3167346525006e-05,0.0,2,0
2025-09-11,4.589522359310649e-05,4.589522359310649e-05,4.589522359310649e-05,0.0,2,0,,,,,2,2,0.11594268679618835,0.11594268679618835,0.11594268679618835,0.0,2,0,-0.00036577435093931854,-0.00036577435093931854,-0.00036577435093931854,0.0,2,0
2025-09-12,4.1383111238246784e-05,4.1383111238246784e-05,4.1383111238246784e-05,0.0,2,0,0.029885517433285713,0.029885517433285713,0.029885517433285713,0.0,2,0,0.11517900973558426,0.11517900973558426,0.11517900973558426,0.0,2,0,4.249844550940907e-06,4.249844550940907e-06,4.249844550940907e-06,0.0,2,0
