pollutant,feature,total_days,valid_days,missing_days,coverage_percent,minimum,mean,median,std,maximum
NO₂,no2_mean,364,170,194,46.7,1.3505949937098194e-05,4.6534281602148174e-05,4.225478824082529e-05,1.9896796013289447e-05,9.7659467428457e-05
CO,co_mean,364,220,144,60.44,0.020222034305334,0.029561166681179894,0.0292311813682317,0.0038698258428638125,0.0452155917882919
O₃,o3_mean,364,360,4,98.9,0.1095090210437774,0.11580302295171549,0.11556519940495485,0.002467946795761659,0.1227664873003959
SO₂,so2_mean,364,218,146,59.89,-0.001270740525797,7.732697178116129e-05,7.520342296629678e-05,0.00031595308267478586,0.0014283846830949
