date,no2_mean,co_mean,o3_mean,so2_mean
2025-09,4.033845957832562e-05,0.029711272966648803,0.11437954500849754,0.00012519744535418822
2025-10,5.4413409634435085e-05,0.03299030891674401,0.11652265801545109,8.440597139269998e-05
2025-11,4.1256506544110984e-05,0.02857569937727277,0.11548253272970514,6.537054256720174e-05
2025-12,3.609639555758225e-05,0.02771787345409388,0.11492664270823996,0.00016071414545743725
2026-01,2.8052109519194347e-05,0.0281054130090134,0.11304117715166456,0.00012175106526640385
2026-02,2.300030587321089e-05,0.028034116141498037,0.11339332722127433,7.35375666548577e-05
2026-03,2.6904775343912963e-05,0.02986093166777312,0.11477208473990036,-1.999655146770192e-05
2026-04,4.71042618041143e-05,0.028041978715918913,0.11708508506417271,8.717975623538735e-05
2026-05,4.7443434456139446e-05,0.02957121379530196,0.11639694894353544,4.439239216934278e-05
2026-06,5.658586383948137e-05,0.02794192176467423,0.11605615963538483,0.00010023801132771623
2026-07,5.6071932249324163e-05,0.030884566645209555,0.11765764392912384,-8.337382437443517e-05
2026-08,4.5138188722506e-05,0.030564622953534074,0.1197985763351122,0.00018291648993436744
